minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
1,10,361,1,0,350
1,10,158,0,0,65
7,6,272,1,0,40
1,6,363,2,0,85
1,17,200,1,1,120
3,13,50,0,1,99
2,13,322,1,1,198
1,6,229,0,0,62
14,28,342,1,2,32
5,6,94,0,0,73
1,8,322,1,1,219
1,10,259,1,0,325
1,6,189,0,0,70
5,8,365,2,2,30
1,5,90,2,0,62
15,14,0,0,0,65
3,5,326,0,0,60
2,10,361,2,0,116
2,327,302,1,1,252
1,6,179,1,0,75
1,10,275,1,0,135
1,5,244,1,0,174
3,13,74,0,1,350
3,10,0,0,2,25
1,15,201,1,0,100
1,12,230,1,0,115
3,6,27,0,0,62
4,5,0,2,2,60
2,6,177,0,0,68
4,8,347,3,0,34
1,5,293,0,0,110
5,6,319,2,1,99
1,13,0,0,0,250
1,17,221,1,1,163
2,5,347,2,0,50
3,12,65,2,0,55
2,8,343,4,1,99
2,26,311,0,0,35
4,8,218,1,1,419
3,12,0,1,1,339
2,34,308,0,0,65
11,12,0,0,2,24
1,10,365,0,0,48
3,5,316,0,0,70
1,5,19,1,2,95
1,10,284,1,0,220
3,28,79,0,0,179
1,6,163,0,0,55
1,5,351,1,0,99
2,327,117,1,1,252
1,7,315,1,0,100
2,327,137,1,1,245
2,5,0,0,0,39
1,10,127,2,0,70
1,18,355,2,0,135
2,7,74,2,1,149
2,327,323,1,1,431
1,5,365,1,2,75
1,18,360,2,0,165
3,13,180,0,0,40
1,5,342,2,0,45
2,9,12,1,2,49
1,20,365,1,0,199
5,8,365,0,2,30
1,9,301,1,0,100
1,7,0,0,0,41
2,8,261,0,0,58
3,8,341,0,0,75
1,8,283,2,0,50
1,7,73,2,0,60
1,5,292,1,0,85
1,5,204,0,0,65
1,9,289,1,0,100
1,5,62,0,0,50
1,10,81,1,0,125
2,327,306,1,1,235
1,33,180,0,0,119
3,7,1,1,0,55
2,26,311,0,0,36
1,6,173,0,0,55
1,5,337,2,0,48
1,7,176,2,0,58
1,5,48,4,0,142
1,5,188,1,0,163
1,8,56,2,0,50
1,7,313,2,2,40
1,10,271,1,0,305
2,7,177,4,0,39
3,6,42,1,0,116
1,18,362,2,0,165
2,5,205,2,0,78
2,5,10,0,0,50
